,time,open,high,low,close,volume,symbol
1,2022-11-23 16:00:00,2.4299,2.51,2.4299,2.509,6417,BOSC
2,2022-11-23 15:15:00,2.5099,2.5099,2.5099,2.5099,150,BOSC
3,2022-11-23 11:15:00,2.51,2.53,2.51,2.529,1049,BOSC
4,2022-11-23 10:45:00,2.39,2.39,2.39,2.39,100,BOSC
5,2022-11-23 10:30:00,2.4717,2.5354,2.4717,2.5354,350,BOSC
6,2022-11-22 15:45:00,2.5027,2.5027,2.44,2.44,1468,BOSC
7,2022-11-22 15:30:00,2.5001,2.5015,2.5,2.5015,3279,BOSC
8,2022-11-22 15:15:00,2.36,2.5499,2.36,2.5011,28304,BOSC
9,2022-11-21 16:00:00,2.3693,2.3693,2.3693,2.3693,100,BOSC
10,2022-11-21 15:45:00,2.31,2.31,2.31,2.31,100,BOSC
11,2022-11-21 14:45:00,2.29,2.29,2.29,2.29,100,BOSC
12,2022-11-21 14:15:00,2.38,2.44,2.38,2.3916,600,BOSC
13,2022-11-21 14:00:00,2.37,2.4319,2.35,2.4319,1032,BOSC
14,2022-11-21 09:45:00,2.32,2.32,2.32,2.32,100,BOSC
15,2022-11-18 14:30:00,2.32,2.32,2.32,2.32,100,BOSC
16,2022-11-18 13:15:00,2.345,2.345,2.345,2.345,500,BOSC
17,2022-11-18 10:45:00,2.32,2.32,2.32,2.32,100,BOSC
18,2022-11-18 10:30:00,2.32,2.32,2.32,2.32,104,BOSC
19,2022-11-17 16:00:00,2.33,2.33,2.33,2.33,100,BOSC
20,2022-11-16 15:45:00,2.33,2.33,2.33,2.33,100,BOSC
21,2022-11-16 13:30:00,2.34,2.34,2.335,2.335,200,BOSC
22,2022-11-16 10:00:00,2.33,2.33,2.33,2.33,100,BOSC
23,2022-11-15 19:15:00,2.35,2.35,2.35,2.35,500,BOSC
24,2022-11-15 16:00:00,2.32,2.32,2.32,2.32,515,BOSC
25,2022-11-15 15:45:00,2.335,2.335,2.335,2.335,110,BOSC
26,2022-11-15 14:45:00,2.33,2.33,2.33,2.33,200,BOSC
27,2022-11-15 11:30:00,2.32,2.32,2.32,2.32,100,BOSC
28,2022-11-15 10:45:00,2.32,2.32,2.32,2.32,100,BOSC
29,2022-11-15 10:30:00,2.3199,2.32,2.3198,2.32,598,BOSC
30,2022-11-15 09:45:00,2.3099,2.31,2.3088,2.3088,2909,BOSC
31,2022-11-14 15:00:00,2.27,2.27,2.27,2.27,207,BOSC
32,2022-11-14 14:30:00,2.2741,2.2741,2.2741,2.2741,200,BOSC
33,2022-11-14 13:15:00,2.28,2.28,2.24,2.24,710,BOSC
34,2022-11-14 12:45:00,2.2746,2.2746,2.2746,2.2746,100,BOSC
