,time,open,high,low,close,volume,symbol
1,2022-11-25 11:50:00,2.31,2.31,2.31,2.31,100,BOSC
2,2022-11-25 09:35:00,2.46,2.48,2.46,2.48,792,BOSC
1,2022-11-25 13:00:00,5.55,5.55,5.55,5.55,498,FARM
2,2022-11-25 12:55:00,5.625,5.625,5.55,5.55,460,FARM
3,2022-11-25 12:45:00,5.47,5.47,5.47,5.47,228,FARM
4,2022-11-25 12:15:00,5.6,5.6,5.56,5.56,201,FARM
5,2022-11-25 11:50:00,5.54,5.54,5.5,5.5,8037,FARM
6,2022-11-25 11:45:00,5.555,5.555,5.555,5.555,603,FARM
7,2022-11-25 11:40:00,5.555,5.555,5.555,5.555,356,FARM
8,2022-11-25 11:35:00,5.55,5.565,5.5,5.555,6028,FARM
9,2022-11-25 11:30:00,5.56,5.56,5.56,5.56,200,FARM
10,2022-11-25 11:25:00,5.5601,5.5601,5.5601,5.5601,503,FARM
11,2022-11-25 11:20:00,5.5758,5.5758,5.5758,5.5758,715,FARM
12,2022-11-25 10:25:00,5.5252,5.5648,5.51,5.53,1100,FARM
13,2022-11-25 10:20:00,5.68,5.8348,5.68,5.8,1617,FARM
14,2022-11-25 10:15:00,5.7017,5.7017,5.7017,5.7017,192,FARM
15,2022-11-25 10:05:00,5.62,5.62,5.62,5.62,123,FARM
16,2022-11-25 09:55:00,5.55,5.55,5.55,5.55,410,FARM
17,2022-11-25 09:45:00,5.43,5.43,5.43,5.43,282,FARM
18,2022-11-25 09:40:00,5.36,5.38,5.35,5.38,1221,FARM
1,2022-11-25 17:00:00,97.45,97.45,97.37,97.37,1059,GOOGL
2,2022-11-25 16:55:00,97.38,97.38,97.38,97.38,114,GOOGL
3,2022-11-25 16:50:00,97.44,97.44,97.44,97.44,160,GOOGL
4,2022-11-25 16:35:00,97.5,97.5,97.5,97.5,158,GOOGL
5,2022-11-25 16:30:00,97.5,97.5,97.5,97.5,206,GOOGL
6,2022-11-25 16:05:00,97.46,97.46,97.46,97.46,16399,GOOGL
7,2022-11-25 13:05:00,97.49,97.49,97.46,97.46,1119088,GOOGL
8,2022-11-25 13:00:00,97.61,97.62,97.43,97.49,586480,GOOGL
9,2022-11-25 12:55:00,97.48,97.63,97.47,97.62,255286,GOOGL
10,2022-11-25 12:50:00,97.501,97.5673,97.4582,97.48,139086,GOOGL
11,2022-11-25 12:45:00,97.5,97.56,97.47,97.5086,117567,GOOGL
12,2022-11-25 12:40:00,97.555,97.56,97.47,97.505,116124,GOOGL
13,2022-11-25 12:35:00,97.53,97.6583,97.53,97.56,152553,GOOGL
14,2022-11-25 12:30:00,97.53,97.585,97.51,97.52,136390,GOOGL
